American Gangster,7.8
Big Hero 6,7.8
The Barkley Marathons: The Race That Eats Its Young,7.8
Maya Angelou: And Still I Rise,7.8
The Beatles: Eight Days a Week,7.8
Parmanu: The Story of Pokhran,7.8
Imba Means Sing,7.8
Dear Frankie,7.8
Perfect Strangers,7.8
Little Man,7.8
Best Worst Thing That Ever Could Have Happened,7.8
Sunny,7.8
The Killer,7.8
Udta Punjab,7.8
I Believe in Miracles,7.8
The Boy in the Striped Pajamas,7.8
The Butterfly's Dream,7.8
John Mulaney: Kid Gorgeous at Radio City,7.8
Beasts of No Nation,7.8
Loving Vincent,7.8
How to Train Your Dragon 2,7.8
Back to the Future Part II,7.8
Awakenings,7.8
Born to Be Free,7.8
The 36th Chamber of Shaolin,7.8
Kung Fu Hustle,7.8
Marathon,7.8
The Aerial,7.8
Finding Neverland,7.7
Fire in the Blood,7.7
The Experiment,7.7
"Jim &amp; Andy: The Great Beyond – Featuring a Very Special, Contractually Obligated Mention of Tony Clifton",7.7
The Incident,7.7
Cidade Cinza,7.7
The True Cost,7.7
The Fear of 13,7.7
Coraline,7.7
Court,7.7
The C Word,7.7
The Breadwinner,7.7
The Bomb,7.7
The Bleeding Edge,7.7
Dear Zindagi,7.7
David Blaine: Street Magic,7.7
David Blaine: Real or Magic?,7.7
Jim Jefferies: Freedumb,7.7
Star Trek II: The Wrath of Khan,7.7
What We Do in the Shadows,7.7
Madness in the Desert,7.7
Adaptation.,7.7
Madras Café,7.7
Star Trek Into Darkness,7.7
Sarkar,7.7
Secrets of Althorp – The Spencers,7.7
Meru,7.7
What the Health,7.7
Anthony Jeselnik: Thoughts and Prayers,7.7
Nise: The Heart of Madness,7.7
Williams,7.7
Black Hawk Down,7.7
Pyaar Ka Punchnama,7.7
Wreck-It Ralph,7.7
Only the Dead,7.7
Judah Friedlander: America Is the Greatest Country in the United States,7.7
Joseph &amp; Mary,7.7
Operation Odessa,7.7
Playing for Time,7.7
Changeling,7.7
Being Elmo: A Puppeteer's Journey,7.7
Sense and Sensibility,7.7
Live and Let Live,7.7
Breakfast at Tiffany's,7.7
Saw,7.6
Diary of a Chambermaid,7.6
The Wave,7.6
How to Change the World,7.6
Madaari,7.6
Denis Leary: No Cure For Cancer,7.6
The Reader,7.6
Secret,7.6
Among the Believers,7.6
Delhi Belly,7.6
Disturbing the Peace,7.6
Weiner,7.6
Doug Stanhope: Beer Hall Putsch,7.6
Golden Time,7.6
13 Assassins,7.6
Piku,7.6
Out of Luck,7.6
